dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
ArticularyWordRecognition,RP,sum,0.6,,Ridge
ArticularyWordRecognition,RP,sum,0.7833333333333333,Rocket,Ridge
ArticularyWordRecognition,RP,sum,0.34,MiniRocket,Ridge
ArticularyWordRecognition,RP,subtraction,0.2466666666666666,,Ridge
ArticularyWordRecognition,RP,subtraction,0.4333333333333333,Rocket,Ridge
ArticularyWordRecognition,RP,subtraction,0.19,MiniRocket,Ridge
ArticularyWordRecognition,RP,dot_product,0.2966666666666667,,Ridge
ArticularyWordRecognition,RP,dot_product,0.4766666666666667,Rocket,Ridge
ArticularyWordRecognition,RP,dot_product,0.24,MiniRocket,Ridge
ArticularyWordRecognition,RP,element_wise,0.2733333333333333,,Ridge
ArticularyWordRecognition,RP,element_wise,0.3633333333333333,Rocket,Ridge
ArticularyWordRecognition,RP,element_wise,0.2933333333333333,MiniRocket,Ridge
ArticularyWordRecognition,MTF,sum,0.5933333333333334,,Ridge
ArticularyWordRecognition,MTF,sum,0.8066666666666666,Rocket,Ridge
ArticularyWordRecognition,MTF,sum,0.3933333333333333,MiniRocket,Ridge
ArticularyWordRecognition,MTF,subtraction,0.2933333333333333,,Ridge
ArticularyWordRecognition,MTF,subtraction,0.4033333333333333,Rocket,Ridge
ArticularyWordRecognition,MTF,subtraction,0.1933333333333333,MiniRocket,Ridge
ArticularyWordRecognition,MTF,dot_product,0.27,,Ridge
ArticularyWordRecognition,MTF,dot_product,0.4,Rocket,Ridge
ArticularyWordRecognition,MTF,dot_product,0.16,MiniRocket,Ridge
ArticularyWordRecognition,MTF,element_wise,0.2866666666666667,,Ridge
ArticularyWordRecognition,MTF,element_wise,0.2466666666666666,Rocket,Ridge
ArticularyWordRecognition,MTF,element_wise,0.24,MiniRocket,Ridge
ArticularyWordRecognition,GASF,sum,0.71,,Ridge
ArticularyWordRecognition,GASF,sum,0.86,Rocket,Ridge
ArticularyWordRecognition,GASF,sum,0.66,MiniRocket,Ridge
ArticularyWordRecognition,GASF,subtraction,0.3466666666666667,,Ridge
ArticularyWordRecognition,GASF,subtraction,0.4533333333333333,Rocket,Ridge
ArticularyWordRecognition,GASF,subtraction,0.3066666666666666,MiniRocket,Ridge
ArticularyWordRecognition,GASF,dot_product,0.2566666666666666,,Ridge
ArticularyWordRecognition,GASF,dot_product,0.42,Rocket,Ridge
ArticularyWordRecognition,GASF,dot_product,0.2233333333333333,MiniRocket,Ridge
ArticularyWordRecognition,GASF,element_wise,0.47,,Ridge
ArticularyWordRecognition,GASF,element_wise,0.65,Rocket,Ridge
ArticularyWordRecognition,GASF,element_wise,0.2166666666666666,MiniRocket,Ridge
ArticularyWordRecognition,GADF,sum,0.71,,Ridge
ArticularyWordRecognition,GADF,sum,0.85,Rocket,Ridge
ArticularyWordRecognition,GADF,sum,0.5133333333333333,MiniRocket,Ridge
ArticularyWordRecognition,GADF,subtraction,0.4133333333333333,,Ridge
ArticularyWordRecognition,GADF,subtraction,0.6066666666666667,Rocket,Ridge
ArticularyWordRecognition,GADF,subtraction,0.42,MiniRocket,Ridge
ArticularyWordRecognition,GADF,dot_product,0.25,,Ridge
ArticularyWordRecognition,GADF,dot_product,0.4133333333333333,Rocket,Ridge
ArticularyWordRecognition,GADF,dot_product,0.2566666666666666,MiniRocket,Ridge
ArticularyWordRecognition,GADF,element_wise,0.24,,Ridge
ArticularyWordRecognition,GADF,element_wise,0.37,Rocket,Ridge
ArticularyWordRecognition,GADF,element_wise,0.1833333333333333,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,sum,0.7933333333333333,,Ridge
ArticularyWordRecognition,FIRTS,sum,0.9333333333333332,Rocket,Ridge
ArticularyWordRecognition,FIRTS,sum,0.79,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,subtraction,0.44,,Ridge
ArticularyWordRecognition,FIRTS,subtraction,0.5933333333333334,Rocket,Ridge
ArticularyWordRecognition,FIRTS,subtraction,0.3333333333333333,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,dot_product,0.38,,Ridge
ArticularyWordRecognition,FIRTS,dot_product,0.4933333333333333,Rocket,Ridge
ArticularyWordRecognition,FIRTS,dot_product,0.2266666666666666,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,element_wise,0.44,,Ridge
ArticularyWordRecognition,FIRTS,element_wise,0.3533333333333333,Rocket,Ridge
ArticularyWordRecognition,FIRTS,element_wise,0.1933333333333333,MiniRocket,Ridge
ArticularyWordRecognition,CWT,sum,0.5,,Ridge
ArticularyWordRecognition,CWT,sum,0.6266666666666667,Rocket,Ridge
ArticularyWordRecognition,CWT,sum,0.4766666666666667,MiniRocket,Ridge
ArticularyWordRecognition,CWT,subtraction,0.44,,Ridge
ArticularyWordRecognition,CWT,subtraction,0.47,Rocket,Ridge
ArticularyWordRecognition,CWT,subtraction,0.3666666666666666,MiniRocket,Ridge
ArticularyWordRecognition,CWT,dot_product,0.2033333333333333,,Ridge
ArticularyWordRecognition,CWT,dot_product,0.3,Rocket,Ridge
ArticularyWordRecognition,CWT,dot_product,0.19,MiniRocket,Ridge
ArticularyWordRecognition,CWT,element_wise,0.3166666666666666,,Ridge
ArticularyWordRecognition,CWT,element_wise,0.3666666666666666,Rocket,Ridge
ArticularyWordRecognition,CWT,element_wise,0.2266666666666666,MiniRocket,Ridge
AtrialFibrillation,RP,sum,0.3333333333333333,,Ridge
AtrialFibrillation,RP,sum,0.2,Rocket,Ridge
AtrialFibrillation,RP,sum,0.26666666666666666,MiniRocket,Ridge
AtrialFibrillation,RP,subtraction,0.2,,Ridge
AtrialFibrillation,RP,subtraction,0.26666666666666666,Rocket,Ridge
AtrialFibrillation,RP,subtraction,0.2,MiniRocket,Ridge
AtrialFibrillation,RP,dot_product,0.3333333333333333,,Ridge
AtrialFibrillation,RP,dot_product,0.06666666666666667,Rocket,Ridge
AtrialFibrillation,RP,dot_product,0.2,MiniRocket,Ridge
AtrialFibrillation,RP,element_wise,0.3333333333333333,,Ridge
AtrialFibrillation,RP,element_wise,0.2,Rocket,Ridge
AtrialFibrillation,RP,element_wise,0.4,MiniRocket,Ridge
AtrialFibrillation,MTF,sum,0.2,,Ridge
AtrialFibrillation,MTF,sum,0.2,Rocket,Ridge
AtrialFibrillation,MTF,sum,0.13333333333333333,MiniRocket,Ridge
AtrialFibrillation,MTF,subtraction,0.06666666666666667,,Ridge
AtrialFibrillation,MTF,subtraction,0.26666666666666666,Rocket,Ridge
AtrialFibrillation,MTF,subtraction,0.4666666666666667,MiniRocket,Ridge
AtrialFibrillation,MTF,dot_product,0.13333333333333333,,Ridge
AtrialFibrillation,MTF,dot_product,0.4,Rocket,Ridge
AtrialFibrillation,MTF,dot_product,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,MTF,element_wise,0.26666666666666666,,Ridge
AtrialFibrillation,MTF,element_wise,0.2,Rocket,Ridge
AtrialFibrillation,MTF,element_wise,0.26666666666666666,MiniRocket,Ridge
AtrialFibrillation,GASF,sum,0.2,,Ridge
AtrialFibrillation,GASF,sum,0.26666666666666666,Rocket,Ridge
AtrialFibrillation,GASF,sum,0.2,MiniRocket,Ridge
AtrialFibrillation,GASF,subtraction,0.06666666666666667,,Ridge
AtrialFibrillation,GASF,subtraction,0.06666666666666667,Rocket,Ridge
AtrialFibrillation,GASF,subtraction,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,GASF,dot_product,0.4,,Ridge
AtrialFibrillation,GASF,dot_product,0.2,Rocket,Ridge
AtrialFibrillation,GASF,dot_product,0.26666666666666666,MiniRocket,Ridge
AtrialFibrillation,GASF,element_wise,0.2,,Ridge
AtrialFibrillation,GASF,element_wise,0.13333333333333333,Rocket,Ridge
AtrialFibrillation,GASF,element_wise,0.13333333333333333,MiniRocket,Ridge
AtrialFibrillation,GADF,sum,0.3333333333333333,,Ridge
AtrialFibrillation,GADF,sum,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,GADF,sum,0.3333333333333333,MiniRocket,Ridge
