dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
ArticularyWordRecognition,,,0.52,,Ridge
AtrialFibrillation,,,0.4,,Ridge
BasicMotions,,,0.575,,Ridge
Cricket,,,0.5,,Ridge
DuckDuckGeese,,,0.12,,Ridge
EigenWorms,,,0.4351145038167939,,Ridge
Epilepsy,,,0.2971014492753623,,Ridge
EthanolConcentration,,,0.4600760456273764,,Ridge
ERing,,,0.7333333333333333,,Ridge
FaceDetection,,,0.5618615209988649,,Ridge
FingerMovements,,,0.42,,Ridge
HandMovementDirection,,,0.3108108108108108,,Ridge
Handwriting,,,0.1247058823529411,,Ridge
Heartbeat,,,0.6585365853658537,,Ridge
Libras,,,0.3611111111111111,,Ridge
LSST,,,0.3231954582319545,,Ridge
MotorImagery,,,0.56,,Ridge
NATOPS,,,0.3666666666666666,,Ridge
PenDigits,,,0.6975414522584333,,Ridge
PEMS-SF,,,0.907514450867052,,Ridge
PhonemeSpectra,,,0.0536832687145839,,Ridge
RacketSports,,,0.5460526315789473,,Ridge
SelfRegulationSCP1,,,0.7781569965870307,,Ridge
SelfRegulationSCP2,,,0.5277777777777778,,Ridge
StandWalkJump,,,0.4,,Ridge
UWaveGestureLibrary,,,0.54375,,Ridge
ArticularyWordRecognition,RP,sum,0.6333333333333333,,Ridge
ArticularyWordRecognition,RP,sum,0.7833333333333333,Rocket,Ridge
ArticularyWordRecognition,RP,sum,0.34,MiniRocket,Ridge
ArticularyWordRecognition,RP,subtraction,0.2866666666666667,,Ridge
ArticularyWordRecognition,RP,subtraction,0.4333333333333333,Rocket,Ridge
ArticularyWordRecognition,RP,subtraction,0.19,MiniRocket,Ridge
ArticularyWordRecognition,RP,dot_product,0.12,,Ridge
ArticularyWordRecognition,RP,dot_product,0.4766666666666667,Rocket,Ridge
ArticularyWordRecognition,RP,dot_product,0.24,MiniRocket,Ridge
ArticularyWordRecognition,RP,element_wise,0.3433333333333333,,Ridge
ArticularyWordRecognition,RP,element_wise,0.3633333333333333,Rocket,Ridge
ArticularyWordRecognition,RP,element_wise,0.2933333333333333,MiniRocket,Ridge
ArticularyWordRecognition,MTF,sum,0.61,,Ridge
ArticularyWordRecognition,MTF,sum,0.8066666666666666,Rocket,Ridge
ArticularyWordRecognition,MTF,sum,0.3933333333333333,MiniRocket,Ridge
ArticularyWordRecognition,MTF,subtraction,0.3633333333333333,,Ridge
ArticularyWordRecognition,MTF,subtraction,0.4033333333333333,Rocket,Ridge
ArticularyWordRecognition,MTF,subtraction,0.1933333333333333,MiniRocket,Ridge
ArticularyWordRecognition,MTF,dot_product,0.0433333333333333,,Ridge
ArticularyWordRecognition,MTF,dot_product,0.4,Rocket,Ridge
ArticularyWordRecognition,MTF,dot_product,0.16,MiniRocket,Ridge
ArticularyWordRecognition,MTF,element_wise,0.41,,Ridge
ArticularyWordRecognition,MTF,element_wise,0.2466666666666666,Rocket,Ridge
ArticularyWordRecognition,MTF,element_wise,0.24,MiniRocket,Ridge
ArticularyWordRecognition,GASF,sum,0.68,,Ridge
ArticularyWordRecognition,GASF,sum,0.86,Rocket,Ridge
ArticularyWordRecognition,GASF,sum,0.66,MiniRocket,Ridge
ArticularyWordRecognition,GASF,subtraction,0.3766666666666666,,Ridge
ArticularyWordRecognition,GASF,subtraction,0.4533333333333333,Rocket,Ridge
