dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
AtrialFibrillation,RP,sum,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,RP,sum,0.2,MiniRocket,Ridge
AtrialFibrillation,RP,subtraction,0.5333333333333333,,Ridge
AtrialFibrillation,RP,subtraction,0.1333333333333333,Rocket,Ridge
AtrialFibrillation,RP,subtraction,0.2,MiniRocket,Ridge
AtrialFibrillation,RP,dot_product,0.2666666666666666,,Ridge
AtrialFibrillation,RP,dot_product,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,RP,dot_product,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,RP,element_wise,0.3333333333333333,,Ridge
AtrialFibrillation,RP,element_wise,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,RP,element_wise,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,MTF,sum,0.4,,Ridge
AtrialFibrillation,MTF,sum,0.4666666666666667,Rocket,Ridge
AtrialFibrillation,MTF,sum,0.4666666666666667,MiniRocket,Ridge
AtrialFibrillation,MTF,subtraction,0.4,,Ridge
AtrialFibrillation,MTF,subtraction,0.2,Rocket,Ridge
AtrialFibrillation,MTF,subtraction,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,MTF,dot_product,0.3333333333333333,,Ridge
AtrialFibrillation,MTF,dot_product,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,MTF,dot_product,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,MTF,element_wise,0.4,,Ridge
AtrialFibrillation,MTF,element_wise,0.4666666666666667,Rocket,Ridge
AtrialFibrillation,MTF,element_wise,0.4666666666666667,MiniRocket,Ridge
AtrialFibrillation,GASF,sum,0.2666666666666666,,Ridge
AtrialFibrillation,GASF,sum,0.2666666666666666,Rocket,Ridge
AtrialFibrillation,GASF,sum,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,GASF,subtraction,0.2,,Ridge
AtrialFibrillation,GASF,subtraction,0.1333333333333333,Rocket,Ridge
AtrialFibrillation,GASF,subtraction,0.1333333333333333,MiniRocket,Ridge
AtrialFibrillation,GASF,dot_product,0.3333333333333333,,Ridge
AtrialFibrillation,GASF,dot_product,0.3333333333333333,Rocket,Ridge
AtrialFibrillation,GASF,dot_product,0.3333333333333333,MiniRocket,Ridge
AtrialFibrillation,GASF,element_wise,0.3333333333333333,,Ridge
AtrialFibrillation,GASF,element_wise,0.2,Rocket,Ridge
AtrialFibrillation,GASF,element_wise,0.4,MiniRocket,Ridge
